Procedure Name,Procedure Path,Master Name,Master Path
CUPE_Internal.fex,/output/OPS_BI_Tool/IFS_Reports/CUPE_Internal.fex,cab_crew_pbs_fs,/output/fops/cab_crew_pbs_fs.mas
OBR_WINTER.fex,/output/OPS_BI_Tool/Restricted/OBR_WINTER.fex,optiblocks_speeds,/output/fops/optiblocks_speeds.mas
OBR_SUMMER.fex,/output/OPS_BI_Tool/Restricted/OBR_SUMMER.fex,optiblocks_speeds,/output/fops/optiblocks_speeds.mas
OBR_Sabre_WINTER.fex,/output/OPS_BI_Tool/Restricted/OBR_Sabre_WINTER.fex,optiblocks_speeds,/output/fops/optiblocks_speeds.mas
OBR_Sabre_SUMMER.fex,/output/OPS_BI_Tool/Restricted/OBR_Sabre_SUMMER.fex,optiblocks_speeds,/output/fops/optiblocks_speeds.mas
CPCI_main.fex,/output/OPS_BI_Tool/Restricted/CPCI_main.fex,ref_cpci_lido,/output/fops/ref_cpci_lido.mas
CPCI_main.fex,/output/OPS_BI_Tool/Restricted/CPCI_main.fex,ref_cpci_types,/output/fops/ref_cpci_types.mas
CPCI_main.fex,/output/OPS_BI_Tool/Restricted/CPCI_main.fex,pbs_ps,/output/fops/pbs_ps.mas
CPCI_main.fex,/output/OPS_BI_Tool/Restricted/CPCI_main.fex,cab_crew_pbs_fs,/output/fops/cab_crew_pbs_fs.mas
CPCI_main.fex,/output/OPS_BI_Tool/Restricted/CPCI_main.fex,ref_cpci_lidocrz_types,/output/fops/ref_cpci_lidocrz_types.mas
Fuel_SPIs_Report_Data.fex,/output/OPS_BI_Tool/Restricted/ACF_Reports/Fuel_SPIs_Report_Data.fex,vw_leg_fuel,/output/ops/vw_leg_fuel.mas
Fuel_SPIs_Report_Data.fex,/output/OPS_BI_Tool/Restricted/ACF_Reports/Fuel_SPIs_Report_Data.fex,ref_oprn_flight_range,/output/ops/ref_oprn_flight_range.mas
Fuel_SPIs_Report_Data.fex,/output/OPS_BI_Tool/Restricted/ACF_Reports/Fuel_SPIs_Report_Data.fex,leg_flown,/output/ops/leg_flown.mas
Crew_Costs.fex,/output/OPS_BI_Tool/Restricted/Crew_Costs.fex,ref_cpci_types,/output/fops/ref_cpci_types.mas
Crew_Costs.fex,/output/OPS_BI_Tool/Restricted/Crew_Costs.fex,pbs_ps,/output/fops/pbs_ps.mas
Crew_Costs.fex,/output/OPS_BI_Tool/Restricted/Crew_Costs.fex,cab_crew_pbs_fs,/output/fops/cab_crew_pbs_fs.mas
mel_append_v2.fex,/output/ETLs/MEL_Append_Process/mel_append_v2.fex,trax_defect_report,/output/acm/trax_defect_report.mas
mel_append_v2.fex,/output/ETLs/MEL_Append_Process/mel_append_v2.fex,trax_defect_mel_master,/output/acm/trax_defect_mel_master.mas
OMI_Snapshot_Append.fex,/output/SR4/OMI_Reports/OMI_Snapshot_ETLs/OMI_Snapshot_Append.fex,omi_snapshot_master_staging,/output/acm/omi_snapshot_master_staging.mas
OMI_Snapshot_Append.fex,/output/SR4/OMI_Reports/OMI_Snapshot_ETLs/OMI_Snapshot_Append.fex,omi_snapshot_master,/output/acm/omi_snapshot_master.mas
PAL_CPA_OTP_Report.fex,/output/OTP_Reports/PAL_CPA_OTP_Report/PAL_CPA_OTP_Report.fex,leg_flown,/output/ops/leg_flown.mas
PAL_CPA_OTP_Report.fex,/output/OTP_Reports/PAL_CPA_OTP_Report/PAL_CPA_OTP_Report.fex,leg_incident,/output/ops/leg_incident.mas
ATPDR_Fin_Swap_Update.fex,/output/Compliance_Reports/ATPDR_Fin_Swap_Report/ATPDR_Fin_Swap_Update.fex,atpdr_fin_swap_data,/output/ops/atpdr_fin_swap_data.mas
Ops_Summary_Data_Extract.fex,/output/Remediated_Reports/Daily_Carrier_OPS_Summary/Data_Extract/Ops_Summary_Data_Extract.fex,leg_flown,/output/ops/leg_flown.mas
Ops_Summary_Data_Extract.fex,/output/Remediated_Reports/Daily_Carrier_OPS_Summary/Data_Extract/Ops_Summary_Data_Extract.fex,leg_incident,/output/ops/leg_incident.mas
Ops_Summary_Data_Extract.fex,/output/Remediated_Reports/Daily_Carrier_OPS_Summary/Data_Extract/Ops_Summary_Data_Extract.fex,station_master,/output/ops/station_master.mas
oper_perf_summary_parameters.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_parameters.fex,calendar,/output//calendar.mas
oper_perf_summary_parameters.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_parameters.fex,ref_oprn_flight_range,/output/ops/ref_oprn_flight_range.mas
oper_perf_summary_data_calendar.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_calendar.fex,calendar,/output//calendar.mas
oper_perf_summary_data_mta_perf.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_mta_perf.fex,leg_flown,/output/ops/leg_flown.mas
oper_perf_summary_data_mta_perf.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_mta_perf.fex,ops_data_calendar_hold_05,/output/ops/ops_data_calendar_hold_05.mas
oper_perf_summary_data_mel.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_mel.fex,mel_master_detail,/output/acm/mel_master_detail.mas
oper_perf_summary_data_mel.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_mel.fex,ops_data_calendar_hold_05,/output/ops/ops_data_calendar_hold_05.mas
oper_perf_summary_data_fuel.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_fuel.fex,leg_flown,/output/ops/leg_flown.mas
oper_perf_summary_data_fuel.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_fuel.fex,ops_data_calendar_hold_05,/output/ops/ops_data_calendar_hold_05.mas
oper_perf_summary_data_fuel_2.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_fuel_2.fex,leg_flown,/output/ops/leg_flown.mas
oper_perf_summary_data_fuel_2.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_fuel_2.fex,ops_data_calendar_hold_05,/output/ops/ops_data_calendar_hold_05.mas
oper_perf_summary_data_targets.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_targets.fex,calendar,/output//calendar.mas
oper_perf_summary_data_targets.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_targets.fex,targets_carrier_system,/output/ops/targets_carrier_system.mas
oper_perf_summary_data_targets.fex,/output/Remediated_Reports/OPR_Data/oper_perf_summary_data_targets.fex,targets_carrier_citypair,/output/ops/targets_carrier_citypair.mas
